"minute","avg_rtt","prcount"
"2025-01-20 06:29:00+00","196.6694426649583600","1561"
"2025-01-20 06:30:00+00","196.6361306854580397","1561"
"2025-01-20 06:31:00+00","196.7775641025641026","1560"
"2025-01-20 06:32:00+00","196.4523352527191299","1563"
"2025-01-20 06:33:00+00","196.6534272901985906","1561"
"2025-01-20 06:34:00+00","196.4312220089571337","1563"
"2025-01-20 06:35:00+00","196.5262483994878361","1562"
"2025-01-20 06:36:00+00","196.4101087651951376","1563"
"2025-01-20 06:37:00+00","196.6681614349775785","1561"
"2025-01-20 06:38:00+00","196.2890025575447570","1564"
"2025-01-20 06:39:00+00","196.1916932907348243","1565"
"2025-01-20 06:40:00+00","196.4401791426743442","1563"
"2025-01-20 06:41:00+00","196.3998720409468970","1563"
"2025-01-20 06:42:00+00","196.6412556053811659","1561"
"2025-01-20 06:43:00+00","196.7935897435897436","1560"
"2025-01-20 06:44:00+00","196.6177976952624840","1562"
"2025-01-20 06:45:00+00","196.8916666666666667","1560"
"2025-01-20 06:46:00+00","196.5300896286811780","1562"
"2025-01-20 06:47:00+00","196.6335682254964766","1561"
"2025-01-20 06:48:00+00","196.5236875800256082","1562"
"2025-01-20 06:49:00+00","196.6643177450352338","1561"
"2025-01-20 06:50:00+00","196.2883631713554987","1564"
"2025-01-20 06:51:00+00","196.5477258167841127","1561"
"2025-01-20 06:52:00+00","196.5217669654289373","1562"
"2025-01-20 06:53:00+00","196.7961538461538462","1560"
"2025-01-20 06:54:00+00","196.6406149903907751","1561"
"2025-01-20 06:55:00+00","196.8865384615384615","1560"
"2025-01-20 06:56:00+00","196.5416133162612036","1562"
"2025-01-20 06:57:00+00","196.7852564102564103","1560"
"2025-01-20 06:58:00+00","196.5467349551856594","1562"
"2025-01-20 06:59:00+00","196.7916666666666667","1560"
"2025-01-20 07:00:00+00","196.8442307692307692","1560"
"2025-01-20 07:01:00+00","196.4689699296225208","1563"
"2025-01-20 07:02:00+00","196.6521460602178091","1561"
"2025-01-20 07:03:00+00","196.6508648302370275","1561"
"2025-01-20 07:04:00+00","196.6976297245355541","1561"
"2025-01-20 07:05:00+00","196.4743918053777209","1562"
"2025-01-20 07:06:00+00","196.6643177450352338","1561"
"2025-01-20 07:07:00+00","196.2890473104342191","1543"
"2025-01-20 07:08:00+00","196.7935897435897436","1560"
"2025-01-20 07:09:00+00","196.4318618042226488","1563"
"2025-01-20 07:10:00+00","196.5083226632522407","1562"
"2025-01-20 07:11:00+00","196.3985924504158669","1563"
"2025-01-20 07:12:00+00","196.3934740882917466","1563"
"2025-01-20 07:13:00+00","196.6412556053811659","1561"
"2025-01-20 07:14:00+00","196.6534272901985906","1561"
"2025-01-20 07:15:00+00","196.5697823303457106","1562"
"2025-01-20 07:16:00+00","196.5460947503201024","1562"
"2025-01-20 07:17:00+00","196.2006389776357827","1565"
"2025-01-20 07:18:00+00","196.7724358974358974","1560"
"2025-01-20 07:19:00+00","196.5435339308578745","1562"
"2025-01-20 07:20:00+00","196.6416666666666667","1560"
"2025-01-20 07:21:00+00","196.7942307692307692","1560"
"2025-01-20 07:22:00+00","196.6521460602178091","1561"
"2025-01-20 07:23:00+00","196.6502242152466368","1561"
"2025-01-20 07:24:00+00","196.7801282051282051","1560"
"2025-01-20 07:25:00+00","196.6502242152466368","1561"
