hour,avg_rtt,success_ratio,prcount,src_scion_addr,src_addr
2025-01-22 09:00:00+00:00,96.8387308810517,1.0,39555,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-22 09:00:00+00:00,144.55464591676383,1.0,39454,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-22 09:00:00+00:00,123.514147538617,1.0,27708,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-22 09:00:00+00:00,213.60526049570052,1.0,39540,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-22 10:00:00+00:00,284.3839312861052,1.0,39468,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-22 10:00:00+00:00,218.90123456790124,1.0,39042,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-22 10:00:00+00:00,96.67328437579134,1.0,39490,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-22 10:00:00+00:00,145.88811669654478,1.0,40721,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-22 10:00:00+00:00,213.19210720370228,1.0,39327,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-22 11:00:00+00:00,290.00335229821286,1.0,42359,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-22 11:00:00+00:00,222.13511976686328,1.0,42207,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-22 11:00:00+00:00,97.41994265538733,1.0,42201,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-22 11:00:00+00:00,148.6850991685633,1.0,43058,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-22 11:00:00+00:00,123.29607504550331,1.0,85708,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-22 12:00:00+00:00,290.1525278093867,1.0,43061,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-22 12:00:00+00:00,223.19414720387084,1.0,42988,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-22 12:00:00+00:00,97.6560048280024,1.0,43082,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-22 12:00:00+00:00,148.77411267671025,1.0,43079,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-22 12:00:00+00:00,162.179765382297,1.0,43134,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-22 12:00:00+00:00,123.28284070344765,1.0,86204,"71-2:0:4a,141.44.25.151:0",141.44.25.151
