"src_scion_addr","dst_scion_addr","avg_paths","min_paths","max_paths","avg_diff_to_max","median_diff_to_max","avg_min_hops","avg_max_hops"
"71-2:0:4a,141.44.25.151:0","71-20965,10.0.1.1:30041","1.9999511432479969","1","2","0.000048856752003126832128","0","2.0000000000000000","2.0000000000000000"
"71-2:0:4a,141.44.25.151:0","71-20965,10.0.2.1:30041","1.9999512456730535","1","2","0.000048754326946516503340","0","2.0000000000000000","2.0000000000000000"
"71-2:0:4a,141.44.25.151:0","71-20965,10.0.3.1:30041","1.9999511360860005","1","2","0.000048863913999511360860","0","2.0000000000000000","2.0000000000000000"
"71-2:0:4a,141.44.25.151:0","71-225,127.0.0.1:30041","37.1805518634696156","4","45","7.8194481365303844","0","5.9055771173374448","9.5162953905045457"
"71-2:0:4a,141.44.25.151:0","71-2:0:3b,10.1.0.1:30041","25.6661264181523501","8","33","7.3338735818476499","0","8.0000000000000000","8.0000000000000000"
"71-2:0:4a,141.44.25.151:0","71-2:0:3d,10.0.0.1:30041","2.9996948893974066","1","3","0.00030511060259344012","0","4.0000000000000000","4.0000000000000000"
"71-2:0:4a,141.44.25.151:0","71-2:0:3e,10.10.0.1:30041","19.1133712381139104","2","27","7.8866287618860896","0","4.0001960592098814","6.6111165572002745"
"71-2:0:4a,141.44.25.151:0","71-2:0:3f,10.10.0.1:30041","13.3441117569481756","4","17","3.6558882430518244","0","6.0000000000000000","6.0000000000000000"
"71-2:0:4a,141.44.25.151:0","71-2:0:48,127.0.0.1:30041","13.2756901438018264","2","15","1.7243098561981736","0","5.8265980896399706","9.0217277212133935"
"71-2:0:4a,141.44.25.151:0","71-2:0:5c,127.0.0.1:30041","13.8315099546619357","2","17","3.1684900453380643","0","4.0006899270648531","8.5547013601419279"
"71-2:0:5c,127.0.0.1:0","71-20965,10.0.1.1:30041","3.0000000000000000","3","3","0.000000000000000000000000","0","2.0000000000000000","2.0000000000000000"
"71-2:0:5c,127.0.0.1:0","71-20965,10.0.2.1:30041","3.0000000000000000","3","3","0.000000000000000000000000","0","2.0000000000000000","2.0000000000000000"
"71-2:0:5c,127.0.0.1:0","71-20965,10.0.3.1:30041","3.0000000000000000","3","3","0.000000000000000000000000","0","2.0000000000000000","2.0000000000000000"
"71-2:0:5c,127.0.0.1:0","71-225,127.0.0.1:30041","73.6345893719806763","9","89","15.3654106280193237","0","6.0385507246376812","9.5219323671497585"
"71-2:0:5c,127.0.0.1:0","71-2:0:3b,10.1.0.1:30041","49.1203707535068482","16","65","15.8796292464931518","0","8.0000000000000000","8.0000000000000000"
"71-2:0:5c,127.0.0.1:0","71-2:0:3d,10.0.0.1:30041","4.9999145992570135","4","5","0.000085400742986463982237","0","4.0000000000000000","4.0000000000000000"
"71-2:0:5c,127.0.0.1:0","71-2:0:3e,10.10.0.1:30041","35.9832961217233110","4","53","17.0167038782766890","0","4.0000000000000000","6.5284048623170429"
"71-2:0:5c,127.0.0.1:0","71-2:0:3f,10.10.0.1:30041","25.0582957787241080","8","33","7.9417042212758920","0","6.0000000000000000","6.0000000000000000"
"71-2:0:5c,127.0.0.1:0","71-2:0:48,127.0.0.1:30041","25.3273099681383705","3","29","3.6726900318616295","0","6.0000000000000000","9.0834774692762858"
"71-2:0:5c,127.0.0.1:0","71-2:0:4a,141.44.25.151:30041","3.1739838830419657","2","5","1.8260161169580343","2","4.0000000000000000","4.0000000000000000"
